127.0.0.1 - - [09/Jan/2019:10:15:42 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:15:42 +0530] "GET /Vidyo_Poc/Signin.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:15:42 +0530] "GET /Vidyo_Poc/si.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:15:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:15:45 +0530] "GET /Vidyo_Poc/Login?User=rakesh HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:15:45 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:15:45 +0530] "GET /Vidyo_Poc/meet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:16:00 +0530] "GET /Vidyo_Poc/Add_Invitee?invitees=user2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:16:00 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:16:20 +0530] "GET /Vidyo_Poc/Meeting_Creation?date=2019-01-23&time=14%3A02&Roomname=rake&Discription=dfgsg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:10:16:21 +0530] "GET /Vidyo_Poc/VideoConference.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:01:47 +0530] "GET /Vidyo_Poc/Signin.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:01:47 +0530] "GET /Vidyo_Poc/si.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:01:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:01:53 +0530] "GET /Vidyo_Poc/Login?User=rakesh HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:01:53 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:01:53 +0530] "GET /Vidyo_Poc/meet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:05:49 +0530] "GET /Vidyo_Poc/Signin.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:05:51 +0530] "GET /Vidyo_Poc/Login?User=rakesh HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:05:52 +0530] "GET /Vidyo_Poc/Meeting.jsp HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [09/Jan/2019:17:05:52 +0530] "GET /Vidyo_Poc/vidyoo.png HTTP/1.1" 404 1034
